,id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,team1,team2,winner,result,umpire1,umpire2,player_of_match
65,392189,189,5,121,180,9,125,2009,Durban,Kingsmead,Delhi,bat,Chennai,Delhi,Delhi,runs,BR Doctrove,SJA Taufel,AB de Villiers
66,392190,150,6,126,150,8,130,2009,Cape Town,Newlands,Kolkata,field,Kolkata,Rajasthan,Rajasthan,tie,MR Benson,M Erasmus,YK Pathan
67,392191,168,9,123,173,3,119,2009,Durban,Kingsmead,Bangalore,bat,Bangalore,Punjab,Punjab,wickets,BR Doctrove,TH Wijewardene,RS Bopara
68,392192,168,9,125,156,7,127,2009,Durban,Kingsmead,Hyderabad,bat,Hyderabad,Mumbai,Hyderabad,runs,HDPK Dharmasena,SJA Taufel,PP Ojha
69,392194,149,7,126,150,4,120,2009,Port Elizabeth,St George's Park,Bangalore,bat,Bangalore,Delhi,Delhi,wickets,S Asnani,BG Jerling,TM Dilshan
70,392195,139,6,128,112,7,125,2009,Cape Town,Newlands,Punjab,bat,Punjab,Rajasthan,Punjab,runs,M Erasmus,K Hariharan,KC Sangakkara
71,392196,165,6,127,169,4,121,2009,Durban,Kingsmead,Hyderabad,field,Chennai,Hyderabad,Hyderabad,wickets,IL Howell,TH Wijewardene,HH Gibbs
72,392197,187,6,124,95,9,95,2009,Port Elizabeth,St George's Park,Mumbai,bat,Kolkata,Mumbai,Mumbai,runs,BG Jerling,RB Tiffin,SR Tendulkar
73,392198,143,7,122,147,5,118,2009,Centurion,SuperSport Park,Delhi,bat,Delhi,Rajasthan,Rajasthan,wickets,GAV Baxter,RE Koertzen,YK Pathan
74,392199,139,6,123,143,5,125,2009,Durban,Kingsmead,Kolkata,bat,Bangalore,Kolkata,Bangalore,wickets,MR Benson,TH Wijewardene,MV Boucher
75,392200,119,8,126,116,7,128,2009,Durban,Kingsmead,Punjab,bat,Punjab,Mumbai,Punjab,runs,MR Benson,SL Shastri,KC Sangakkara
76,392201,148,9,123,150,4,120,2009,Centurion,SuperSport Park,Delhi,field,Hyderabad,Delhi,Delhi,wickets,GAV Baxter,AM Saheba,DP Nannes
77,392202,164,5,123,126,9,120,2009,Centurion,SuperSport Park,Rajasthan,field,Chennai,Rajasthan,Chennai,runs,GAV Baxter,RE Koertzen,SK Raina
78,392203,148,6,126,139,6,127,2009,East London,Buffalo Park,Mumbai,bat,Kolkata,Mumbai,Mumbai,runs,M Erasmus,SK Tarapore,JP Duminy
79,392204,145,9,124,137,7,123,2009,Durban,Kingsmead,Bangalore,bat,Bangalore,Punjab,Bangalore,runs,HDPK Dharmasena,S Ravi,Yuvraj Singh
80,392205,141,5,124,142,7,122,2009,Port Elizabeth,St George's Park,Hyderabad,bat,Hyderabad,Rajasthan,Rajasthan,wickets,S Asnani,BG Jerling,YK Pathan
81,392206,163,10,125,145,8,121,2009,Johannesburg,New Wanderers Stadium,Delhi,field,Chennai,Delhi,Chennai,runs,DJ Harper,RE Koertzen,SB Jakati
82,392207,153,3,123,154,4,126,2009,Port Elizabeth,St George's Park,Kolkata,bat,Punjab,Kolkata,Punjab,wickets,S Asnani,MR Benson,DPMD Jayawardene
83,392208,149,4,122,150,1,116,2009,Johannesburg,New Wanderers Stadium,Mumbai,bat,Bangalore,Mumbai,Bangalore,wickets,RE Koertzen,TH Wijewardene,JH Kallis
84,392209,178,3,124,100,10,91,2009,East London,Buffalo Park,Chennai,bat,Chennai,Hyderabad,Chennai,runs,BR Doctrove,M Erasmus,MS Dhoni
85,392210,211,4,124,133,8,128,2009,Durban,Kingsmead,Punjab,field,Punjab,Rajasthan,Rajasthan,runs,SS Hazare,IL Howell,GC Smith
86,392211,154,3,124,157,1,116,2009,Durban,Kingsmead,Kolkata,bat,Delhi,Kolkata,Delhi,wickets,GAV Baxter,IL Howell,G Gambhir
87,392212,145,6,124,126,8,121,2009,Centurion,SuperSport Park,Hyderabad,bat,Hyderabad,Mumbai,Hyderabad,runs,MR Benson,HDPK Dharmasena,RG Sharma
88,392213,105,10,125,107,3,93,2009,Centurion,SuperSport Park,Rajasthan,field,Bangalore,Rajasthan,Rajasthan,wickets,K Hariharan,DJ Harper,A Singh
89,392214,185,3,109,174,3,111,2009,Centurion,SuperSport Park,Chennai,bat,Chennai,Punjab,Chennai,runs,DJ Harper,TH Wijewardene,ML Hayden
90,392215,116,10,130,118,3,117,2009,East London,Buffalo Park,Mumbai,bat,Delhi,Mumbai,Delhi,wickets,M Erasmus,SK Tarapore,A Nehra
91,392216,168,5,125,169,7,122,2009,Kimberley,De Beers Diamond Oval,Punjab,field,Hyderabad,Punjab,Punjab,wickets,GAV Baxter,AM Saheba,DPMD Jayawardene
92,392217,140,7,122,141,3,116,2009,Kimberley,De Beers Diamond Oval,Rajasthan,bat,Chennai,Rajasthan,Chennai,wickets,GAV Baxter,HDPK Dharmasena,S Badrinath
93,392218,157,2,127,141,7,128,2009,Port Elizabeth,St George's Park,Mumbai,bat,Bangalore,Mumbai,Mumbai,runs,BR Doctrove,BG Jerling,JP Duminy
94,392219,123,8,126,125,3,108,2009,Johannesburg,New Wanderers Stadium,Delhi,field,Delhi,Kolkata,Delhi,wickets,SL Shastri,RB Tiffin,A Mishra
95,392220,166,7,121,113,10,120,2009,Kimberley,De Beers Diamond Oval,Hyderabad,bat,Hyderabad,Rajasthan,Hyderabad,runs,GAV Baxter,HDPK Dharmasena,DR Smith
96,392221,173,4,124,176,4,124,2009,Centurion,SuperSport Park,Bangalore,field,Bangalore,Kolkata,Bangalore,wickets,M Erasmus,SS Hazare,LRPL Taylor
97,392222,119,9,130,122,2,104,2009,Centurion,SuperSport Park,Punjab,bat,Punjab,Mumbai,Mumbai,wickets,SS Hazare,RE Koertzen,Harbhajan Singh
98,392223,173,7,126,161,10,123,2009,Durban,Kingsmead,Hyderabad,field,Hyderabad,Delhi,Delhi,runs,DJ Harper,SL Shastri,R Bhatia
99,392224,129,10,119,132,8,121,2009,Durban,Kingsmead,Chennai,bat,Bangalore,Chennai,Bangalore,wickets,BR Doctrove,DJ Harper,LRPL Taylor
100,392225,145,7,124,143,10,127,2009,Durban,Kingsmead,Rajasthan,bat,Mumbai,Rajasthan,Rajasthan,runs,BR Doctrove,DJ Harper,SK Warne
101,392226,120,9,127,123,4,122,2009,Bloemfontein,OUTsurance Oval,Punjab,field,Delhi,Punjab,Punjab,wickets,HDPK Dharmasena,IL Howell,B Lee
102,392227,147,5,122,151,3,120,2009,Port Elizabeth,St George's Park,Mumbai,bat,Chennai,Mumbai,Chennai,wickets,SK Tarapore,SJA Taufel,ML Hayden
103,392228,160,5,124,166,4,124,2009,Johannesburg,New Wanderers Stadium,Hyderabad,field,Hyderabad,Kolkata,Hyderabad,wickets,RE Koertzen,S Ravi,RG Sharma
104,392229,134,7,126,133,8,124,2009,Johannesburg,New Wanderers Stadium,Hyderabad,field,Hyderabad,Punjab,Punjab,runs,S Ravi,RB Tiffin,Yuvraj Singh
105,392230,150,3,124,136,9,127,2009,Bloemfontein,OUTsurance Oval,Delhi,bat,Delhi,Rajasthan,Delhi,runs,SS Hazare,IL Howell,AB de Villiers
106,392231,188,3,129,189,3,121,2009,Centurion,SuperSport Park,Chennai,bat,Chennai,Kolkata,Kolkata,wickets,SJA Taufel,RB Tiffin,BJ Hodge
107,392232,134,7,123,135,3,116,2009,Johannesburg,New Wanderers Stadium,Delhi,bat,Bangalore,Delhi,Bangalore,wickets,IL Howell,RB Tiffin,JH Kallis
108,392233,101,9,123,102,6,119,2009,Durban,Kingsmead,Kolkata,field,Kolkata,Rajasthan,Kolkata,wickets,BG Jerling,SJA Taufel,LR Shukla
109,392234,116,9,122,92,8,123,2009,Durban,Kingsmead,Chennai,bat,Chennai,Punjab,Chennai,runs,BG Jerling,SJA Taufel,M Muralitharan
110,392235,165,8,131,166,6,110,2009,Centurion,SuperSport Park,Delhi,field,Delhi,Mumbai,Delhi,wickets,IL Howell,S Ravi,V Sehwag
111,392236,170,4,121,158,6,126,2009,Centurion,SuperSport Park,Bangalore,bat,Bangalore,Hyderabad,Bangalore,runs,IL Howell,S Ravi,MK Pandey
112,392237,153,8,125,154,4,112,2009,Centurion,SuperSport Park,Hyderabad,field,Delhi,Hyderabad,Hyderabad,wickets,BR Doctrove,DJ Harper,AC Gilchrist
113,392238,146,5,123,149,4,115,2009,Johannesburg,New Wanderers Stadium,Bangalore,field,Bangalore,Chennai,Bangalore,wickets,RE Koertzen,SJA Taufel,MK Pandey
114,392239,143,6,126,137,9,121,2009,Johannesburg,New Wanderers Stadium,Bangalore,field,Bangalore,Hyderabad,Hyderabad,runs,RE Koertzen,SJA Taufel,A Kumble
115,419106,161,4,127,150,7,127,2010,Mumbai,Dr DY Patil Sports Academy,Hyderabad,field,Hyderabad,Kolkata,Kolkata,runs,RE Koertzen,RB Tiffin,AD Mathews
116,419107,212,7,129,208,7,125,2010,Mumbai,Brabourne Stadium,Mumbai,bat,Mumbai,Rajasthan,Mumbai,runs,RE Koertzen,RB Tiffin,YK Pathan
117,419108,142,9,125,146,5,121,2010,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Delhi,field,Punjab,Delhi,Delhi,wickets,BR Doctrove,S Ravi,G Gambhir
118,419109,135,7,122,136,3,121,2010,Kolkata,Eden Gardens,Kolkata,field,Kolkata,Bangalore,Kolkata,wickets,HDPK Dharmasena,AM Saheba,MK Tiwary
119,419110,190,4,131,159,9,123,2010,Chennai,MA Chidambaram Stadium,Hyderabad,bat,Chennai,Hyderabad,Hyderabad,runs,K Hariharan,DJ Harper,WPUJC Vaas
120,419111,141,6,125,142,4,107,2010,Ahmedabad,"Sardar Patel Stadium, Motera",Delhi,field,Rajasthan,Delhi,Delhi,wickets,BG Jerling,RE Koertzen,V Sehwag
121,419112,203,3,130,204,2,118,2010,Bangalore,M Chinnaswamy Stadium,Punjab,bat,Bangalore,Punjab,Bangalore,wickets,S Das,DJ Harper,JH Kallis
122,419113,164,3,121,109,10,119,2010,Kolkata,Eden Gardens,Chennai,bat,Kolkata,Chennai,Chennai,runs,HDPK Dharmasena,AM Saheba,MS Dhoni
123,419114,218,7,127,120,9,103,2010,Delhi,Feroz Shah Kotla,Delhi,field,Delhi,Mumbai,Mumbai,runs,BR Doctrove,SK Tarapore,SR Tendulkar
124,419115,92,10,124,93,0,71,2010,Bangalore,M Chinnaswamy Stadium,Bangalore,field,Bangalore,Rajasthan,Bangalore,wickets,K Hariharan,DJ Harper,JH Kallis
125,419116,185,6,125,190,5,123,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,Chennai,Chennai,wickets,BR Doctrove,SK Tarapore,ML Hayden
126,419117,170,8,121,164,8,122,2010,Cuttack,Barabati Stadium,Punjab,field,Hyderabad,Punjab,Hyderabad,runs,BF Bowden,M Erasmus,A Symonds
127,419118,168,7,123,134,5,121,2010,Ahmedabad,"Sardar Patel Stadium, Motera",Rajasthan,bat,Rajasthan,Kolkata,Rajasthan,runs,RE Koertzen,RB Tiffin,AA Jhunjhunwala
128,419119,151,9,124,155,3,115,2010,Mumbai,Brabourne Stadium,Mumbai,bat,Mumbai,Bangalore,Bangalore,wickets,HDPK Dharmasena,SS Hazare,JH Kallis
129,419120,171,6,121,161,9,121,2010,Cuttack,Barabati Stadium,Hyderabad,bat,Hyderabad,Delhi,Hyderabad,runs,BF Bowden,M Erasmus,A Symonds
130,419121,136,8,122,136,7,128,2010,Chennai,MA Chidambaram Stadium,Chennai,field,Chennai,Punjab,Punjab,tie,K Hariharan,DJ Harper,J Theron
131,419122,155,3,126,156,3,115,2010,Mumbai,Brabourne Stadium,Kolkata,bat,Mumbai,Kolkata,Mumbai,wickets,SS Hazare,SJA Taufel,SR Tendulkar
132,419123,171,5,124,135,7,126,2010,Bangalore,M Chinnaswamy Stadium,Chennai,field,Bangalore,Chennai,Bangalore,runs,RE Koertzen,RB Tiffin,RV Uthappa
133,419124,183,5,127,152,10,119,2010,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab,field,Punjab,Rajasthan,Rajasthan,runs,BR Doctrove,SK Tarapore,AC Voges
134,419125,180,2,130,181,5,120,2010,Mumbai,"Brabourne Stadium, Mumbai",Mumbai,field,Chennai,Mumbai,Mumbai,wickets,AM Saheba,BF Bowden,SR Tendulkar
135,419126,148,9,127,151,2,97,2010,Ahmedabad,"Sardar Patel Stadium, Motera",Hyderabad,bat,Rajasthan,Hyderabad,Rajasthan,wickets,HDPK Dharmasena,SJA Taufel,YK Pathan
136,419127,183,5,130,144,6,125,2010,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kolkata,bat,Punjab,Kolkata,Kolkata,runs,BR Doctrove,S Ravi,MK Tiwary
137,419128,183,4,127,166,9,125,2010,Bangalore,M Chinnaswamy Stadium,Bangalore,field,Bangalore,Delhi,Delhi,runs,BG Jerling,RE Koertzen,KM Jadhav
138,419129,177,8,122,160,6,123,2010,Ahmedabad,"Sardar Patel Stadium, Motera",Rajasthan,bat,Rajasthan,Chennai,Rajasthan,runs,SS Hazare,SJA Taufel,NV Ojha
139,419130,172,7,129,131,10,110,2010,Mumbai,Dr DY Patil Sports Academy,Hyderabad,field,Hyderabad,Mumbai,Mumbai,runs,S Das,K Hariharan,Harbhajan Singh
140,419131,177,4,124,137,9,126,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,Kolkata,Delhi,runs,SS Hazare,SJA Taufel,DA Warner
141,419132,163,10,127,164,6,124,2010,Mumbai,Brabourne Stadium,Mumbai,field,Mumbai,Punjab,Mumbai,wickets,BR Doctrove,SK Tarapore,SL Malinga
142,419133,161,4,124,162,5,117,2010,Chennai,MA Chidambaram Stadium,Bangalore,bat,Chennai,Bangalore,Chennai,wickets,BG Jerling,RE Koertzen,M Vijay
143,419134,188,6,124,121,10,109,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,Rajasthan,Delhi,runs,HDPK Dharmasena,SJA Taufel,KD Karthik
144,419135,181,6,126,157,5,125,2010,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,Hyderabad,Kolkata,runs,K Hariharan,DJ Harper,SC Ganguly
145,419136,181,5,124,184,4,118,2010,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Punjab,bat,Punjab,Bangalore,Bangalore,wickets,BF Bowden,M Erasmus,KP Pietersen
146,419137,246,5,122,223,5,125,2010,Chennai,MA Chidambaram Stadium,Chennai,bat,Chennai,Rajasthan,Chennai,runs,RE Koertzen,RB Tiffin,M Vijay
147,419138,178,5,124,115,10,114,2010,Mumbai,Brabourne Stadium,Mumbai,bat,Mumbai,Hyderabad,Mumbai,runs,BR Doctrove,S Ravi,AT Rayudu
148,419139,200,3,127,204,2,112,2010,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,Punjab,Punjab,wickets,S Asnani,DJ Harper,DPMD Jayawardene
149,419140,184,5,123,147,9,121,2010,Delhi,Feroz Shah Kotla,Delhi,bat,Delhi,Bangalore,Delhi,runs,BF Bowden,M Erasmus,PD Collingwood
150,419141,159,10,123,157,10,126,2010,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan,bat,Hyderabad,Rajasthan,Rajasthan,runs,HDPK Dharmasena,SJA Taufel,SK Warne
151,419142,165,4,128,141,9,129,2010,Chennai,MA Chidambaram Stadium,Chennai,bat,Chennai,Mumbai,Chennai,runs,S Asnani,DJ Harper,SK Raina
152,419143,153,6,126,157,1,97,2010,Jaipur,Sawai Mansingh Stadium,Punjab,bat,Rajasthan,Punjab,Rajasthan,wickets,S Ravi,SK Tarapore,MJ Lumb
153,419144,181,3,126,167,8,124,2010,Kolkata,Eden Gardens,Kolkata,bat,Kolkata,Delhi,Kolkata,runs,BG Jerling,RE Koertzen,SC Ganguly
